Category,Symptom
Procedural and Device-Related Issues,Vaccination site scar
Laboratory Findings,Red blood cell abnormality
Uncategorized,Discharge
Uncategorized,Hemianopia
Infectious Symptoms,Biliary sepsis
General Symptoms,Dental discomfort
General Symptoms,Lumbar puncture abnormal
Laboratory Findings,Multipathogen PCR test
Uncategorized,Hemiplegia
Uncategorized,Cyst drainage
Cardiovascular Findings,Exercise electrocardiogram abnormal
Uncategorized,Lymphadenopathy mediastinal
General Symptoms,Menstrual discomfort
Dermatologic Symptoms,Dermatitis atopic
Laboratory Findings,Albumin urine present
Laboratory Findings,White blood cells urine positive
Uncategorized,Nucleated red cells
Uncategorized,Bundle branch block bilateral
Respiratory Symptoms,Dyspnoea at rest
Uncategorized,Internal haemorrhage
Musculoskeletal Symptoms,Urethral pain
Laboratory Findings,Capillary nail refill test
Laboratory Findings,Mycoplasma test positive
Laboratory Findings,Blood bicarbonate decreased
Uncategorized,Decreased nasolabial fold
Neurological Symptoms,Peripheral nerve palsy
Uncategorized,Aspiration
Respiratory Symptoms,Pulmonary imaging procedure normal
Cardiovascular Findings,Orthostatic hypertension
General Symptoms,Dermatologic examination abnormal
Uncategorized,Cerebral artery stenosis
Uncategorized,Cerebral infarction
Uncategorized,Lacunar infarction
Uncategorized,Arthropod sting
Uncategorized,Crepitations
Uncategorized,Leukaemia
Uncategorized,Lagophthalmos
Neurological Symptoms,NIH stroke scale
Musculoskeletal Symptoms,Penile pain
Uncategorized,Penis disorder
Uncategorized,Acupuncture
Uncategorized,Fascia release
Uncategorized,Chest expansion decreased
Uncategorized,Product selection error
Procedural and Device-Related Issues,Device use issue
Procedural and Device-Related Issues,Drug administered in wrong device
Uncategorized,Dental restoration failure
Laboratory Findings,Blood disorder
Musculoskeletal Symptoms,Adnexa uteri pain
Genitourinary Symptoms,Renal disorder
Dermatologic Symptoms,Injection site cyst
Uncategorized,Body height decreased
Uncategorized,Dental examination
Laboratory Findings,Albumin globulin ratio normal
Uncategorized,Anti-thyroid antibody positive
Laboratory Findings,Blood folate abnormal
Uncategorized,Thyroxine increased
Uncategorized,Tri-iodothyronine free normal
Laboratory Findings,Bilirubin conjugated increased
Procedural and Device-Related Issues,Device dependence
Uncategorized,Diverticulum intestinal
Uncategorized,Gastrointestinal oedema
Uncategorized,Gram stain negative
Uncategorized,Intraductal papillary mucinous neoplasm
Gastrointestinal Symptoms,Magnetic resonance imaging abdominal abnormal
Respiratory Symptoms,Pulmonary vascular disorder
Uncategorized,Retroperitoneal oedema
Laboratory Findings,Salmonella test positive
Cardiovascular Findings,Electrocardiogram QRS complex abnormal
General Symptoms,Arteriogram carotid abnormal
Uncategorized,Carotid arteriosclerosis
Uncategorized,Cerebral microangiopathy
Uncategorized,Systemic inflammatory response syndrome
Laboratory Findings,Immunology test
Uncategorized,Myelitis transverse
Uncategorized,Cerebral small vessel ischaemic disease
Procedural and Device-Related Issues,Magnetic resonance imaging head abnormal
Uncategorized,Coma
Uncategorized,Tongue induration
Neurological Symptoms,Facial neuralgia
Uncategorized,Palmar-plantar erythrodysaesthesia syndrome
Uncategorized,Spontaneous haemorrhage
Uncategorized,Communication disorder
Uncategorized,Tonic convulsion
ENT Symptoms,Mucosal inflammation
Allergic and Immune Reactions,Nonspecific reaction
Uncategorized,Haemorrhagic vasculitis
Ophthalmologic Symptoms,Eye operation
Uncategorized,Macular hole
Uncategorized,Rheumatoid factor increased
Uncategorized,Conjunctival oedema
Uncategorized,Inability to crawl
Dermatologic Symptoms,Sweat gland infection
Procedural and Device-Related Issues,Ultrasound scan vagina abnormal
Musculoskeletal Symptoms,Joint injury
Uncategorized,Erysipelas
Uncategorized,Anti-cyclic citrullinated peptide antibody
Laboratory Findings,Nitrite urine
Uncategorized,Rhabdomyolysis
Uncategorized,Eosinophilia
Uncategorized,Amblyopia
Laboratory Findings,Coagulation test normal
Uncategorized,Intracranial mass
Uncategorized,Prothrombin level normal
Uncategorized,Subcutaneous abscess
Uncategorized,Retinal haemorrhage
Uncategorized,Retinal vascular occlusion
Uncategorized,Administration site nerve damage
Uncategorized,Shoulder deformity
Uncategorized,Antiviral treatment
Uncategorized,Physical breast examination
Uncategorized,Life support
Neurological Symptoms,Radial nerve palsy
General Symptoms,Barium swallow abnormal
Uncategorized,Reactive airways dysfunction syndrome
Uncategorized,Exercise lack of
Uncategorized,Gene mutation
Dermatologic Symptoms,Exfoliative rash
Uncategorized,Vasodilatation
Neurological Symptoms,Cervicogenic headache
Uncategorized,Therapeutic gargle
Uncategorized,Apraxia
Uncategorized,Uvulitis
Uncategorized,Cerumen impaction
Respiratory Symptoms,Pulmonary function test
Uncategorized,Diet refusal
ENT Symptoms,Ear and hearing disorder prophylaxis
Laboratory Findings,Liver function test abnormal
Cardiovascular Findings,Left ventricular dysfunction
Cardiovascular Findings,Left ventricular hypertrophy
Procedural and Device-Related Issues,Endoscopic ultrasound
Uncategorized,Morning sickness
Uncategorized,Discoloured vomit
ENT Symptoms,Culture throat
Uncategorized,Cerebral ventricle dilatation
Uncategorized,Impatience
Cardiovascular Findings,Cardiac pacemaker evaluation
Uncategorized,Stool analysis normal
Uncategorized,Gingival blister
Laboratory Findings,Blood alkaline phosphatase
Uncategorized,Gamma-glutamyltransferase
Psychiatric Symptoms,Stress echocardiogram
Ophthalmologic Symptoms,Ultrasound eye
Ophthalmologic Symptoms,Visual acuity reduced
ENT Symptoms,Foreign body in throat
Laboratory Findings,Romberg test positive
Uncategorized,Asterixis
Uncategorized,Epilepsy
Uncategorized,Calcinosis
Uncategorized,Night blindness
Uncategorized,Acute sinusitis
Uncategorized,Fluid replacement
Uncategorized,Henoch-Schonlein purpura
Laboratory Findings,Blood corticotrophin
Uncategorized,Oestradiol
Uncategorized,Ingrown hair
Uncategorized,Anterior chamber inflammation
Uncategorized,Spinal stenosis
ENT Symptoms,Cerebral venous sinus thrombosis
Uncategorized,Decompressive craniectomy
Laboratory Findings,Kidney infection
ENT Symptoms,Superior sagittal sinus thrombosis
ENT Symptoms,Transverse sinus thrombosis
General Symptoms,Venogram abnormal
Uncategorized,Functional gastrointestinal disorder
Uncategorized,Macroglossia
Uncategorized,Iliac vein occlusion
Uncategorized,May-Thurner syndrome
Uncategorized,Peripheral artery stent insertion
Uncategorized,Thrombectomy
Uncategorized,Thrombolysis
Uncategorized,Venogram
Laboratory Findings,Blood uric acid increased
Dermatologic Symptoms,Cold urticaria
Dermatologic Symptoms,Dermatitis bullous
Uncategorized,Thirst decreased
Laboratory Findings,Albumin globulin ratio decreased
Procedural and Device-Related Issues,Vaccination site pallor
Uncategorized,Blepharochalasis
Uncategorized,Focal dyscognitive seizures
Uncategorized,Ligament injury
Uncategorized,Jugular vein thrombosis
Dermatologic Symptoms,Pruritus genital
Uncategorized,Complicated appendicitis
Uncategorized,Drain placement
Uncategorized,Omentectomy
Uncategorized,Pelvic abscess
Gastrointestinal Symptoms,Abdominal hernia
General Symptoms,Product temperature excursion issue
Uncategorized,Lymphopenia
Uncategorized,Breath odour
Uncategorized,Overdose
Uncategorized,Illiteracy
Uncategorized,Dose calculation error
Uncategorized,Enanthema
Uncategorized,Cytogenetic abnormality
Uncategorized,Circulatory collapse
Neurological Symptoms,Cold-stimulus headache
Uncategorized,Numb chin syndrome
Uncategorized,Oligomenorrhoea
Uncategorized,Ovarian cyst
Procedural and Device-Related Issues,X-ray therapy to lung
General Symptoms,Arteriogram coronary abnormal
Cardiovascular Findings,Electrocardiogram ST segment abnormal
Dermatologic Symptoms,Skin test positive
Uncategorized,Cardiogenic shock
Uncategorized,Coronary artery bypass
General Symptoms,Critical illness
Uncategorized,Vitiligo
Laboratory Findings,Blood immunoglobulin M
Uncategorized,Polyarthritis
Cardiovascular Findings,Exercise electrocardiogram
Uncategorized,Anti-NMDA antibody negative
Uncategorized,CSF cell count increased
Uncategorized,CSF lactate dehydrogenase normal
General Symptoms,CSF lymphocyte count abnormal
Uncategorized,CSF neutrophil count increased
Laboratory Findings,CSF protein increased
Uncategorized,Ankylosing spondylitis
Uncategorized,Hyperbilirubinaemia
Uncategorized,Housebound
Uncategorized,Madarosis
Allergic and Immune Reactions,Serum sickness-like reaction
Uncategorized,Glomerular filtration rate increased
Uncategorized,Tissue injury
Laboratory Findings,Blood immunoglobulin A normal
Laboratory Findings,Blood immunoglobulin E normal
Laboratory Findings,Blood immunoglobulin G normal
Uncategorized,Band neutrophil percentage decreased
Uncategorized,Neutrophil toxic granulation present
Laboratory Findings,Red blood cell nucleated morphology present
Cardiovascular Findings,Ventricular fibrillation
Uncategorized,Catarrh
Uncategorized,Pressure of speech
Procedural and Device-Related Issues,Ultrasound chest
Uncategorized,Grip strength
Allergic and Immune Reactions,Reaction to food additive
Uncategorized,Amphetamines
Cardiovascular Findings,Cardiac telemetry abnormal
Uncategorized,Neutrophilia
Uncategorized,Chest injury
Uncategorized,Vein rupture
Uncategorized,Thyroid hormones increased
Procedural and Device-Related Issues,Wrong device used
Gastrointestinal Symptoms,Abdominal lymphadenopathy
Uncategorized,Leukopenia
Uncategorized,Neutropenia
Uncategorized,Locked-in syndrome
Uncategorized,Angle closure glaucoma
Laboratory Findings,Eye pH test
Uncategorized,Anisocytosis
Laboratory Findings,Blood smear test abnormal
Uncategorized,Increased tendency to bruise
Uncategorized,Polychromasia
Laboratory Findings,Blood immunoglobulin G increased
Uncategorized,Bronchial wall thickening
Uncategorized,Cerebral atrophy
Uncategorized,Inflammatory marker increased
Uncategorized,Lung hypoinflation
Uncategorized,Granulocyte count decreased
Uncategorized,Antiphospholipid antibodies positive
Laboratory Findings,Gene mutation identification test negative
Respiratory Symptoms,Pulmonary infarction
Uncategorized,Russell's viper venom time normal
Uncategorized,Libido decreased
Uncategorized,B-cell lymphoma stage II
Dermatologic Symptoms,Eczema nummular
Uncategorized,Vitamin D deficiency
Uncategorized,Antineutrophil cytoplasmic antibody increased
Uncategorized,Cryoglobulins absent
Genitourinary Symptoms,Haemorrhage urinary tract
Uncategorized,Appendicitis perforated
Uncategorized,Accidental underdose
Uncategorized,Product leakage
Uncategorized,Peripheral vascular disorder
Uncategorized,Meningism
Ophthalmologic Symptoms,Eye allergy
Uncategorized,Craniocerebral injury
Uncategorized,Nerve conduction studies
Uncategorized,Focal peritonitis
Uncategorized,Meningitis
Laboratory Findings,Antibody test negative
Uncategorized,Myoclonus
Laboratory Findings,Blood folate
Infectious Symptoms,Epstein-Barr virus antibody
Uncategorized,Stiff tongue
Uncategorized,Diastolic dysfunction
Uncategorized,Cardiomyopathy
Infectious Symptoms,Epstein-Barr virus antibody negative
Laboratory Findings,Hepatitis viral test negative
Uncategorized,Hilar lymphadenopathy
Procedural and Device-Related Issues,Magnetic resonance imaging heart
Uncategorized,Obesity
Cardiovascular Findings,Right ventricular ejection fraction decreased
Psychiatric Symptoms,Sleep apnoea syndrome
ENT Symptoms,Mucosal dryness
Allergic and Immune Reactions,Autoimmune thyroiditis
Procedural and Device-Related Issues,Ultrasound antenatal screen
Uncategorized,Palate injury
Uncategorized,Completed suicide
Dermatologic Symptoms,Injection site ulcer
Uncategorized,Failure to thrive
Uncategorized,Chest crushing
Cardiovascular Findings,Cardiac ventriculogram left normal
Dermatologic Symptoms,Vulvovaginal erythema
Uncategorized,Vulvovaginal inflammation
Uncategorized,Apnoeic attack
Uncategorized,Poverty of speech
Uncategorized,Clonus
Uncategorized,Alveolar lung disease
Uncategorized,Aortic arteriosclerosis
Uncategorized,Aortic valve incompetence
Cardiovascular Findings,Myocardial strain
Cardiovascular Findings,Pulmonary hypertension
Cardiovascular Findings,Right atrial dilatation
Cardiovascular Findings,Right ventricular hypertrophy
Cardiovascular Findings,Right ventricular systolic pressure decreased
Uncategorized,Cholangiogram
Procedural and Device-Related Issues,Intra-uterine contraceptive device removal
Uncategorized,Pelvic fluid collection
Procedural and Device-Related Issues,Ultrasound breast abnormal
Ophthalmologic Symptoms,Hand-eye coordination impaired
Uncategorized,Stevens-Johnson syndrome
Uncategorized,Rotator cuff syndrome
Uncategorized,Wrong patient received product
Uncategorized,Nail disorder
Uncategorized,Pemphigoid
Uncategorized,Chorea
Uncategorized,Sjogren's syndrome
Uncategorized,Cholecystitis
Neurological Symptoms,Trigeminal nerve paresis
Laboratory Findings,Serology test
Uncategorized,Oropharyngeal oedema
Procedural and Device-Related Issues,X-ray gastrointestinal tract abnormal
Uncategorized,Haemorrhage subcutaneous
Laboratory Findings,Blood creatine phosphokinase abnormal
Uncategorized,Salivary gland enlargement
Cardiovascular Findings,Scan myocardial perfusion normal
Dermatologic Symptoms,Injection site discharge
Uncategorized,Swollen tear duct
Laboratory Findings,Epstein-Barr virus test
Dermatologic Symptoms,Dermatitis infected
Uncategorized,Vocal cord paralysis
Dermatologic Symptoms,Skin papilloma
General Symptoms,Synovial fluid analysis abnormal
Uncategorized,Tooth abscess
Uncategorized,Electric shock
Laboratory Findings,Blood creatine
Infectious Symptoms,H1N1 influenza
Uncategorized,Uterine dilation and curettage
Uncategorized,Pulseless electrical activity
Uncategorized,Subcutaneous drug absorption impaired
Laboratory Findings,Liver injury
Uncategorized,Transplant evaluation
Uncategorized,Thermometry
Dermatologic Symptoms,Anal pruritus
Uncategorized,Anaemia of chronic disease
Uncategorized,Confabulation
Uncategorized,Mediastinal disorder
Uncategorized,Tensor fasciae latae syndrome
Laboratory Findings,Varicella virus test positive
Psychiatric Symptoms,Product packaging confusion
Uncategorized,Drug dispensed to wrong patient
Laboratory Findings,Activated protein C resistance test positive
Uncategorized,Faecaloma
Uncategorized,Prothrombin level increased
Laboratory Findings,Vascular test
Uncategorized,Venous stent insertion
Dermatologic Symptoms,Skin cosmetic procedure
Uncategorized,Scleritis
Procedural and Device-Related Issues,Exposure via contaminated device
Uncategorized,Sexually transmitted disease
Uncategorized,Unhealthy diet
Neurological Symptoms,Laryngeal tremor
Laboratory Findings,Electrolyte imbalance
Procedural and Device-Related Issues,Recalled product administered
Musculoskeletal Symptoms,Muscle enzyme increased
Musculoskeletal Symptoms,Uterine cervical pain
Musculoskeletal Symptoms,Uterine tenderness
Infectious Symptoms,Influenza immunisation
Procedural and Device-Related Issues,Ultrasound antenatal screen normal
Laboratory Findings,Blood creatine phosphokinase MB normal
Uncategorized,Increased bronchial secretion
Uncategorized,Physical disability
Uncategorized,Metamyelocyte percentage
Uncategorized,Myelocyte percentage
Cardiovascular Findings,Cardiac function test
Uncategorized,Lichen sclerosus
Uncategorized,Vulval disorder
Uncategorized,Cataplexy
Infectious Symptoms,Herpes zoster oticus
Uncategorized,Plasmapheresis
Uncategorized,Enuresis
Musculoskeletal Symptoms,Visceral pain
Genitourinary Symptoms,Genital burning sensation
Respiratory Symptoms,Asthma exercise induced
Uncategorized,Hypovolaemia
Uncategorized,Acute abdomen
Uncategorized,Shortened cervix
Uncategorized,Prurigo
Laboratory Findings,Nucleic acid test
Uncategorized,Trans-sexualism
Laboratory Findings,Prenatal screening test
Uncategorized,Medical observation
Respiratory Symptoms,Respiratory fatigue
Uncategorized,VIth nerve paralysis
Psychiatric Symptoms,Sleep terror
Uncategorized,"Hallucinations, mixed"
Uncategorized,Periarticular disorder
Psychiatric Symptoms,Stress echocardiogram normal
Cardiovascular Findings,Orthostatic heart rate response increased
Laboratory Findings,SARS-CoV-1 test positive
Respiratory Symptoms,Severe acute respiratory syndrome
Uncategorized,Toxic encephalopathy
Uncategorized,Pelvic mass
Uncategorized,Product contamination physical
Cardiovascular Findings,Bradycardia foetal
Laboratory Findings,Foetal non-stress test
Uncategorized,Gun shot wound
Uncategorized,Flat affect
Uncategorized,Foreign travel
Laboratory Findings,White blood cell count abnormal
Laboratory Findings,Blood prolactin increased
Uncategorized,Premature separation of placenta
Musculoskeletal Symptoms,Pain management
Uncategorized,Spinal nerve stimulator implantation
Procedural and Device-Related Issues,Spinal operation
Cardiovascular Findings,Cardiac ablation
Uncategorized,Xanthopsia
Laboratory Findings,Bilirubin conjugated
Uncategorized,Meningioma
Procedural and Device-Related Issues,Haemorrhoid operation
Uncategorized,Haemorrhoids thrombosed
Cardiovascular Findings,Cardiovascular function test normal
Neurological Symptoms,Basal ganglia stroke
Respiratory Symptoms,Pulmonary hilar enlargement
Gastrointestinal Symptoms,Abdominal mass
Cardiovascular Findings,Idiopathic intracranial hypertension
Laboratory Findings,Blood phosphorus increased
Laboratory Findings,Red blood cells urine positive
Laboratory Findings,Bilirubin urine
Laboratory Findings,Crystal urine absent
Genitourinary Symptoms,Urinary casts absent
Genitourinary Symptoms,Urinary sediment present
Laboratory Findings,Urine ketone body absent
General Symptoms,Oesophagogastroduodenoscopy abnormal
Uncategorized,Tonsillolith
Uncategorized,Wound secretion
Uncategorized,Tongue exfoliation
Uncategorized,Atrioventricular block
Uncategorized,Cerebral disorder
Uncategorized,Catheter placement
Uncategorized,Hypoalbuminaemia
Respiratory Symptoms,Pulmonary mass
Respiratory Symptoms,Childhood asthma
Uncategorized,Retinal artery occlusion
Ophthalmologic Symptoms,Visual acuity tests abnormal
Ophthalmologic Symptoms,Visual field tests abnormal
Uncategorized,Aneurysm ruptured
Neurological Symptoms,Cerebellar stroke
Laboratory Findings,Blood creatine phosphokinase MB
Uncategorized,Brachial plexopathy
Uncategorized,Otoscopy
Uncategorized,Hospitalisation
Uncategorized,Central venous catheterisation
Uncategorized,Extradural abscess
Uncategorized,Staphylococcal bacteraemia
Infectious Symptoms,Bacterial vulvovaginitis
Uncategorized,Complement factor normal
General Symptoms,Troponin abnormal
Uncategorized,Decubitus ulcer
Uncategorized,Bundle branch block left
Uncategorized,Vascular graft
Laboratory Findings,Blood testosterone
Laboratory Findings,Blood testosterone decreased
Procedural and Device-Related Issues,Vaccination site scab
Procedural and Device-Related Issues,Spinal fusion surgery
Uncategorized,Brain injury
Procedural and Device-Related Issues,Brain operation
Uncategorized,Haemolytic anaemia
Uncategorized,Substance use
Uncategorized,Iron deficiency
Uncategorized,Physical deconditioning
Musculoskeletal Symptoms,Oropharyngeal swelling
Uncategorized,Cachexia
Uncategorized,Malabsorption
Musculoskeletal Symptoms,Muscle mass
Procedural and Device-Related Issues,X-ray dental
Uncategorized,Multiple use of single-use product
Uncategorized,Vein disorder
Uncategorized,Metabolic encephalopathy
Uncategorized,Eustachian tube dysfunction
Psychiatric Symptoms,Anxiety disorder
Uncategorized,Hepatic steatosis
Uncategorized,Osteoporosis
Laboratory Findings,Blood follicle stimulating hormone
Musculoskeletal Symptoms,Tracheal pain
Laboratory Findings,Hepatitis viral test
Laboratory Findings,Cytokine test
Laboratory Findings,Total complement activity test
Uncategorized,Suicidal ideation
Uncategorized,Dystonia
Uncategorized,Iron binding capacity total
Laboratory Findings,Vitamin B12 absorption test
Laboratory Findings,Von Willebrand's factor activity test
Allergic and Immune Reactions,Allergy to arthropod sting
Uncategorized,Osteopathic treatment
Uncategorized,Eschar
Uncategorized,IVth nerve paralysis
Laboratory Findings,CSF white blood cell count
Laboratory Findings,Fungal test
Laboratory Findings,Mycobacterium test
Uncategorized,Oral administration complication
Uncategorized,Catecholamine crisis
Laboratory Findings,Bilirubin conjugated normal
Uncategorized,Upper gastrointestinal haemorrhage
Cardiovascular Findings,Silent myocardial infarction
Uncategorized,Strabismus
Musculoskeletal Symptoms,Muscle atrophy
Uncategorized,Episcleritis
Procedural and Device-Related Issues,Vaccination site discharge
Procedural and Device-Related Issues,Vaccination site extravasation
Uncategorized,Laryngospasm
Uncategorized,Acarodermatitis
Cardiovascular Findings,Blood pressure diastolic
Psychiatric Symptoms,Mental fatigue
Genitourinary Symptoms,Penile haemorrhage
Uncategorized,Positron emission tomogram
Uncategorized,Arteriovenous fistula aneurysm
Uncategorized,Conjunctival disorder
Uncategorized,Cholecystitis acute
Uncategorized,Cholecystitis infective
Uncategorized,Hydrocholecystis
Uncategorized,Pancreatic enzymes normal
Procedural and Device-Related Issues,Ultrasound biliary tract abnormal
Laboratory Findings,Albumin globulin ratio increased
Respiratory Symptoms,Chronic respiratory failure
Uncategorized,Breast discharge
Cardiovascular Findings,Cardiac failure chronic
Uncategorized,Ischaemic cardiomyopathy
Respiratory Symptoms,Pneumonia aspiration
Uncategorized,Lactic acidosis
Laboratory Findings,Foetal non-stress test abnormal
Uncategorized,Aptyalism
Uncategorized,Mastoid disorder
Dermatologic Symptoms,Skin laxity
Uncategorized,Azotaemia
Uncategorized,Laryngoscopy normal
Uncategorized,Oedema blister
Uncategorized,Dementia with Lewy bodies
Uncategorized,Parkinsonism
Uncategorized,Angular cheilitis
Uncategorized,Thyroxine free increased
Uncategorized,Tri-iodothyronine increased
Laboratory Findings,Blood bilirubin unconjugated increased
Laboratory Findings,Albumin urine absent
Uncategorized,Radiotherapy to lymph nodes
Uncategorized,Polymenorrhoea
Procedural and Device-Related Issues,Incorrect dose administered by device
Uncategorized,Administration site papule
Uncategorized,Cystitis
Musculoskeletal Symptoms,Muscle injury
Uncategorized,Rhinophyma
Uncategorized,Antiallergic therapy
Uncategorized,Carpal tunnel syndrome
Laboratory Findings,Phalen's test positive
Uncategorized,Tinel's sign
Uncategorized,Thyroid cancer
Uncategorized,Noninfective myringitis
Musculoskeletal Symptoms,Puncture site pain
Uncategorized,Breast cyst drainage
Uncategorized,Dermal cyst
Uncategorized,Synovial cyst
General Symptoms,Temperature difference of extremities
Ophthalmologic Symptoms,Thermal burns of eye
Uncategorized,Dairy intolerance
Allergic and Immune Reactions,Iodine allergy
Uncategorized,Terminal state
Laboratory Findings,Blood heavy metal normal
Uncategorized,Dermatologic examination normal
Uncategorized,Maculopathy
Uncategorized,Syphilis
Procedural and Device-Related Issues,Refusal of vaccination
ENT Symptoms,Cerebral congestion
Procedural and Device-Related Issues,Scan
Uncategorized,Plantar fasciitis
Uncategorized,Product reconstitution quality issue
Laboratory Findings,Cardiopulmonary exercise test
Procedural and Device-Related Issues,Perfusion brain scan abnormal
Uncategorized,Lyme disease
General Symptoms,Wall motion score index abnormal
Uncategorized,Emergency care
Uncategorized,Immune system disorder
Uncategorized,Eosinophilic oesophagitis
Uncategorized,Alcohol intolerance
Procedural and Device-Related Issues,Perfusion brain scan normal
Infectious Symptoms,Viral cardiomyopathy
Uncategorized,Bronchial disorder
ENT Symptoms,External ear inflammation
Uncategorized,Granulocyte count increased
Uncategorized,Post-traumatic epilepsy
Musculoskeletal Symptoms,Costovertebral angle tenderness
Uncategorized,Impaired self-care
Neurological Symptoms,Acute motor-sensory axonal neuropathy
General Symptoms,Electromyogram abnormal
Uncategorized,Lumbar spinal stenosis
Uncategorized,Tooth disorder
Uncategorized,Aortic aneurysm
Genitourinary Symptoms,Bladder hypertrophy
Genitourinary Symptoms,Bladder injury
Musculoskeletal Symptoms,Muscle oedema
Musculoskeletal Symptoms,Pelvic fracture
Uncategorized,Pelvic haemorrhage
Genitourinary Symptoms,Urinary bladder haemorrhage
Uncategorized,Stool analysis
Uncategorized,Tongue injury
General Symptoms,Product taste abnormal
Uncategorized,Metal poisoning
Laboratory Findings,Hepatitis C virus test
Uncategorized,Subdural haemorrhage
Uncategorized,Basophil count
Laboratory Findings,Pregnancy test urine positive
General Symptoms,Abnormal uterine bleeding
Musculoskeletal Symptoms,Bone scan
ENT Symptoms,Sinus node dysfunction
Uncategorized,Gastrointestinal tube insertion
Procedural and Device-Related Issues,X-ray of pelvis and hip normal
Uncategorized,In vitro fertilisation
Uncategorized,Lumbosacral radiculopathy
Uncategorized,Eyelid bleeding
Uncategorized,Biopsy thyroid gland
Laboratory Findings,Blood follicle stimulating hormone normal
Uncategorized,Thyroid cyst
Procedural and Device-Related Issues,Ultrasound thyroid abnormal
Cardiovascular Findings,Electrocardiogram PR segment depression
Cardiovascular Findings,Electrocardiogram PR segment elevation
Uncategorized,Crohn's disease
Laboratory Findings,Blood bicarbonate increased
Laboratory Findings,Blood pH decreased
Uncategorized,PCO2 increased
Uncategorized,PO2 increased
Uncategorized,Conjunctival scar
Psychiatric Symptoms,Major depression
Dermatologic Symptoms,Skin atrophy
Uncategorized,Burns second degree
Uncategorized,Conductive deafness
Uncategorized,Basal ganglia infarction
Uncategorized,Arthritis reactive
Laboratory Findings,Protein urine
Uncategorized,Fixed eruption
Uncategorized,Pharyngeal haemorrhage
Dermatologic Symptoms,Genital erythema
Genitourinary Symptoms,Renal tubular necrosis
Uncategorized,Disseminated intravascular coagulation
Uncategorized,Tardive dyskinesia
Uncategorized,Gross motor delay
Uncategorized,Breath sounds absent
Uncategorized,Polymyalgia rheumatica
Uncategorized,Giardiasis
Dermatologic Symptoms,Skin discharge
Uncategorized,Inadequate aseptic technique in use of product
Uncategorized,Cerebral artery embolism
ENT Symptoms,Otitis media acute
Uncategorized,Cranial nerve paralysis
Ophthalmologic Symptoms,Eye colour change
Laboratory Findings,Eosinophil cationic protein
Gastrointestinal Symptoms,Change of bowel habit
ENT Symptoms,Culture throat negative
Uncategorized,Arterial catheterisation
General Symptoms,Colonoscopy abnormal
Uncategorized,Diverticulum
Uncategorized,Diverticulum intestinal haemorrhagic
Uncategorized,Endoscopy upper gastrointestinal tract normal
Uncategorized,Hyperaemia
Laboratory Findings,Packed red blood cell transfusion
Uncategorized,Faecal calprotectin
Uncategorized,Listless
Uncategorized,Biliary colic
Uncategorized,Hypermetabolism
Infectious Symptoms,Lymph gland infection
Procedural and Device-Related Issues,X-ray dental abnormal
Respiratory Symptoms,Acute pulmonary oedema
Laboratory Findings,Malaria antigen test
Uncategorized,Eyelid cyst
Uncategorized,Bite
Procedural and Device-Related Issues,Abdomen scan normal
Uncategorized,Periportal oedema
Ophthalmologic Symptoms,Angiogram retina
Uncategorized,Haemoperitoneum
Uncategorized,Therapeutic embolisation
Uncategorized,Embolism
Uncategorized,Endocarditis
Uncategorized,Hepatic embolisation
Genitourinary Symptoms,Renal embolism
Laboratory Findings,C1 esterase inhibitor test
Gastrointestinal Symptoms,Cyclic vomiting syndrome
Infectious Symptoms,Adenovirus infection
Genitourinary Symptoms,Urinary system X-ray
Uncategorized,Dysphoria
Uncategorized,Self-injurious ideation
Uncategorized,Violence-related symptom
Uncategorized,Loss of control of legs
Procedural and Device-Related Issues,Device use error
Uncategorized,Mitral valve incompetence
Uncategorized,Bullous haemorrhagic dermatosis
Laboratory Findings,Epstein-Barr virus test negative
Procedural and Device-Related Issues,Ultrasound spleen
Infectious Symptoms,Conjunctivitis viral
Infectious Symptoms,Gastrointestinal viral infection
Uncategorized,Deafness transitory
Procedural and Device-Related Issues,Device temperature issue
Uncategorized,Administration site warmth
Uncategorized,Hand-arm vibration syndrome
Musculoskeletal Symptoms,Spinal compression fracture
Psychiatric Symptoms,"Hallucination, olfactory"
Uncategorized,Helplessness
Uncategorized,Vasospasm
Respiratory Symptoms,Cardio-respiratory distress
Uncategorized,Anti-Muellerian hormone level decreased
Uncategorized,Menopausal symptoms
Uncategorized,Bacille Calmette-Guerin scar reactivation
Uncategorized,Autonomic nervous system imbalance
Uncategorized,Purulence
Procedural and Device-Related Issues,Ultrasound foetal abnormal
Laboratory Findings,Blood urine
Uncategorized,VIIIth nerve injury
Uncategorized,Menopause
Uncategorized,Escherichia bacteraemia
Uncategorized,Vulvovaginitis
Genitourinary Symptoms,Renal impairment
Uncategorized,Inguinal hernia
Uncategorized,Haemolysis
Psychiatric Symptoms,Fear of falling
Uncategorized,Haemorrhage in pregnancy
Uncategorized,Euglycaemic diabetic ketoacidosis
Uncategorized,Metabolic acidosis
Musculoskeletal Symptoms,Joint fluid drainage
Uncategorized,Oesophagogastroduodenoscopy normal
Laboratory Findings,Herpes simplex test positive
Uncategorized,Assisted reproductive technology
Procedural and Device-Related Issues,Infusion site extravasation
Uncategorized,Oocyte harvest
Uncategorized,Pelvic haematoma
Uncategorized,Waist circumference increased
Uncategorized,Animal bite
Uncategorized,Enterocolitis
Uncategorized,Axillary web syndrome
